,client_id,path,sentence,up_votes,down_votes,age,gender,accent
3908,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,1b987fe8117c146091b469922b78209f22c3867b4e30537d1be73623cbed8971f9b8bc852172572b58553ed97bc0a32f97aa591556bde7a9fa4fddabb48b2441,A young boy splashes in the pool.,2,0,fourties,male,indian
3909,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,977cef3501e9841826100f48e3c28a6fd88b94a4af776b8c2e6aeb5c6722660cedc690d1fcf4ab5f021a0cd204b71e9b6ad4efd130022130e03f228733eb8b64,A group of people dressed in costumes singing.,2,0,fourties,male,indian
3910,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,4228c15a6c6c683cc89d96e0c7f4dbd6f800539f99ab0e8dc4a81b929ee3dd78b9c14598fa83de6a4c49246a4f98aa2ca33283cd76856c6dc0afe47bcde6c6bf,Several people dressed in orange shirts and jeans sing and dance outdoors.,2,0,fourties,male,indian
3911,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,c12e41dc135ed8c323e8da478073dcd6a356a0286e50604c1ff1c2518094683bc601e46b95fdbb1ea0d4014ec48e87e746ac55cd7cde401a9776a2f2dfbb5403,Two male spectators,2,0,fourties,male,indian
3912,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,29ad6edce90dc8fab08155d2022b5d4fa071ece3184b3a6efd902a9e93deb509c651721ac9955f95dd7e69f62c9fe963972e521ec05c01449d206d59fea1ed8e,Workers wearing orange reflective vests walking along train tracks.,2,0,fourties,male,indian
3913,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,368dd7cb72c24409a5022f194e8a6be087e704bd154382509ed997f9177346640453d24e61037a16fbfcb90d4cf37eaf36828352bbc427ade6952860c190461e,Instructor on Basket weaving at fair,3,0,fourties,male,indian
3914,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,0e3a6b0c59fb24b8842dca571bd00e47523c0e1b5ecebd3741c0d5476154dd88c249951cb61834cb981efb6dcf2162ead97850182482fbc3afc4f5e8ccc3f580,Two people sit on a dock with a sunset in the background.,3,0,fourties,male,indian
3915,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,247ee75e40fce510feff9d2b3458b12ac529df173f356abc19636937903632d5b2846d1032070757c867e2e35641fecfd542fb9635c06fdbfa4d51892f58e04b,Three males with red microphones on a green sporting field of some sort.,2,0,fourties,male,indian
3916,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,55d696f83e1d7925dcff235f7600ff37776993081a7bbc57cd581d2df30a897cc58c704460c4b3943f32c3e644fc584bb90fb92f6c34cd151793878bcccc0edc,Group of Asians recording some video.,2,0,fourties,male,indian
3917,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,823f1ac192b4af64a661c1c8f26fb3067d27e61afdafa83f1c5c33018fba5f72cfdc2cf1f48f8b26f8136db294416f99ced7080bcc719118f9b4bab69cd43825,One dog is standing on the beach as another dog runs into the ocean.,3,0,fourties,male,indian
3918,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,a29cca16cc495498e71f4942866525b2f2775072860d9534e42d8fea6a023ac8b0962e1437ca0484116a7645d9cf08c2f4b9ab3c3087abef4f808e11fe315e02,Many people are walking around outside.,2,0,fourties,male,indian
3919,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,bdf4a3e85a14196066ae4300254c8d79540f4da6988d1cbfe824e51232095dd3322a9a747cd468fa1ab7197da108dab3905cd8a819bc5ce08a3029c80a5d3a76,Two people are looking out of a storefront window.,2,0,fourties,male,indian
3920,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,d1eceadca0cd43e78458f5fd96f17f8c946c5efd6630c8ea1b78e26eb53b609018e40873b8a8765c5b567a65a1b7915b2b8f9ee6a99318d4d8014509bdf74824,A young boy with his tongue hanging out playing at the beach.,2,0,fourties,male,indian
3921,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,4d19b7071f7f010d08ad1008baafa3dba44bd8b0de1743439ce82d80c51cbc9240fe67aee2a18285396b57eca65bbc24554998d708c16671f1ec30fc8db7ecc6,Two women stand near a large mixer as they prepare dough.,2,0,fourties,male,indian
3922,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,95871785a7a9240c0adcebe6f66aea6b983c540ea37829ea8445800be810d0573405dbedf1a0429b6aa95e984635583b30bb71cc2bba5720f932d12f226b4ca2,This young girl is enjoying the innocence of childhood and warm weather.,2,0,fourties,male,indian
3923,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,d1889b3c155a39b2b75e1e359881245f09ad615fcec4172992f1603c8427b48cb300a5259729ff98a0d4f8dc9cc29dc0dd12f6a8d304abee7aff6b4bb00d5509,A wakeboarder is performing a trick on a rail.,2,0,fourties,male,indian
3924,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,71d4f91264f7aa798d03de499c56367bd938dd4a29ed68caf790dd718bc886320b92ba380c5b8495adc284591b08911fb4942bb1f479fbd9bad8bf5e8f0c3e58,A snowboarder is flying in the air attempting to land on a snow mound.,2,0,fourties,male,indian
3925,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,e281cbda3d5118a8dbb9dc2c975521a29b208103381c3a1d57ae0d904fbcd2ee1cc9c8814ed91559482751bce6f6f309112c32301f6e1e265e2c6a66df8c1f55,Several people are gathered in a room with a bulletin board and small television.,2,0,fourties,male,indian
3926,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,95cd44fcec6c61d08aafad120a757307e0d3619525a07b251fae5ba20fa6b0c4d77dc7b1c98efc443d0dbbfa125de893c45873cab4111e2e838badc957d32276,Five children are playing in the snow.,2,0,fourties,male,indian
3927,6a9d97dbb899396f3f67866213360f24652daf860ac9b9e78d18c1fdcd406fcb8e8457183a1cf7dc66e63a140421c2ed6869ae0bd46f89880d7cdd548314b8e5,8d5877106626f3a14951b88cdcab5c65b974d294e2f65e7e26c233605e5bf43ee1af45a7fcd08836ff5424da1270a59d0c10a29850a11e4d13dc1d64a8f320e9,A group of women sit on the back of a flatbed truck.,2,0,fourties,male,indian
5035,6621df1f20bebfa13e2c2040bbe812a9638e3075877650b4b8c76f50f9f0c6b678947b09633580f20a280959797d65d3da9671ce934a577d63f602f9aa93a322,e66f6525452b277d5b406c18c36564e93be497608ec218dfda340269044d192a23c86a6d3d2f59436c4c4377b6b31059bab201109edb282ea121500774ecc55b,Play them the greatest music by Chris Frantz.,3,0,twenties,male,indian
5036,6621df1f20bebfa13e2c2040bbe812a9638e3075877650b4b8c76f50f9f0c6b678947b09633580f20a280959797d65d3da9671ce934a577d63f602f9aa93a322,904bf12f179a7fda2ae04c20fa964cba67f7d9324987ef154bf38210122b2cb7639c0ea16a2defba1fc0a627ae698bfbfc2869cf1d5f61effc7b01dee914495a,add this artist to my this is Los Fabulosos Cadillacs playlist,2,0,twenties,male,indian
5037,6621df1f20bebfa13e2c2040bbe812a9638e3075877650b4b8c76f50f9f0c6b678947b09633580f20a280959797d65d3da9671ce934a577d63f602f9aa93a322,971e3d4c9ecf1d881ceef22a873600bff26a7ab08600a803b853073298d0aaf0e7a1ab57e62b654e5aff077b513b66f49b948d7d4821e8faf757742fd849c9af,Can I see William Comes to Town at KB Theatres,2,0,twenties,male,indian
5038,6621df1f20bebfa13e2c2040bbe812a9638e3075877650b4b8c76f50f9f0c6b678947b09633580f20a280959797d65d3da9671ce934a577d63f602f9aa93a322,2a675ef63895c19a109e4780e3894f2de87f3620080c38dc59833995d1b846e3ca826854a92b73889b4fe31332ef896c22a6ebc790dc1354daa1125c4abd7e8c,add The Spine Surfs Alone to my playlist called The Funny Thing About Football Is,3,0,twenties,male,indian
5234,bdcea7aede41e4178f183a7a3c390b200c1435b939de1082aaa8853a29092ae97a17be46c911a64e3ecaaa57a001abc53c13cbc16d74c3a787268b9b384ecc2e,9414e121e17cf2fa5a19e3f4652f1e20b6e82dc84e87731081133ba2d6e7693219be4033298bdc0f0e1229b833c016d937e645dbd4e4cb75fe742a105b04faaf,I want to see Vanishing of the Bees at a movie house.,2,0,twenties,male,indian
5235,bdcea7aede41e4178f183a7a3c390b200c1435b939de1082aaa8853a29092ae97a17be46c911a64e3ecaaa57a001abc53c13cbc16d74c3a787268b9b384ecc2e,ef3ec13898d3e9d428610b9884ee343ab5955e2d08b62f6d7db166b55f64c7723cc5cc037583fbbffcb503b214714090905c442e7f8733e8f167f3e5bd13c8c1,Give this current series a rating of one.,2,0,twenties,male,indian
5236,bdcea7aede41e4178f183a7a3c390b200c1435b939de1082aaa8853a29092ae97a17be46c911a64e3ecaaa57a001abc53c13cbc16d74c3a787268b9b384ecc2e,608ff5ec43af82c723395a339a6d35947a6f623c9149f7027e7dbb5be9856ede5be03cb01b66a3f8875c6e85f4f06b7fb93dcc7c5b306ef64899e9468b9cc5bc,Put some fifties music on Netflix,3,1,twenties,male,indian
5237,bdcea7aede41e4178f183a7a3c390b200c1435b939de1082aaa8853a29092ae97a17be46c911a64e3ecaaa57a001abc53c13cbc16d74c3a787268b9b384ecc2e,85a629905ac050bead9e523579608eabdcaa0c991b36f9df8271d05e9e927145dda8ab0dfda0c7e62fa7542a49464244dfc177a325ce2fb85e1f0d845b64cd02,I use fans all the time during the summer,2,0,twenties,male,indian
5238,bdcea7aede41e4178f183a7a3c390b200c1435b939de1082aaa8853a29092ae97a17be46c911a64e3ecaaa57a001abc53c13cbc16d74c3a787268b9b384ecc2e,26665463b0f3c609a64c45f0fb9cf8a3e7d2f4ffab251aef80f56c53dc81757fc12acd1efabe4db076c1288b090f3890e25ebad96a2ee76954cb71f700fa4da7,I'm looking for the Formula One Championship Edition album,3,1,twenties,male,indian
5395,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,5c0fe4bf4363e6e09af9282e764c2b7f18cc688683285dce51b09aa94c2e2181cc52afb9c935160b9a20cabf32371646e94e287d61823232c45e6a4d4e46f11c,A tourist taking pictures.,2,0,thirties,male,indian
5396,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,ca4bb727de70ba14f596477c8df8f926e0a0f2d79c3171216678a226bf16561fdc0f3cfe91c4013eb5c509ace6d8bc5cefccfb92019bf0ba025c913db1654b96,A woman wearing a costume is being lifted up on the shoulders of her dance partner.,2,0,thirties,male,indian
5397,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,fd4c3a6a21ecbc6ec34c4e11918a5d60c5d940d16f8948674faebbc3bd6abc25b31716d4e26b9b8d51f6fdf1cfabb9b0391f3421d70f0e7b163ed7652712d474,Man riding a bicycle down a road with clouds overhead.,2,0,thirties,male,indian
5398,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,8806be4265d6868d2dc11b6cca166e0e6495efe1b1d8c1d9b33e6de8427cacc6583834519a7deda3343d0a327de21e1fe58173968dcc9d4b8259dd0e0caf6aa0,Chefs prepare food for patrons of a sushi restaurant.,2,0,thirties,male,indian
5399,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,4dd0a1ae63d6bc74448ddda04ff3522a727faf5f7651c020e55ab88f0f1659e607b0d622f1887bff3afb5e12e0d29c4b263b8b153b24c72df1b120537839d0d3,"Girl on a street using a hula hoop, with three people in the background.",2,0,thirties,male,indian
5400,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,75545b6d2fd74cef6c316710eddc91dfc9f93efa5b4dc72d5a77ddb9acbdc9c78869f7bbc20decb170fd9ab1351b8d13035f1f746c8090a5bc3274f093a33ed3,A band playing a small gig in Baltimore.,2,0,thirties,male,indian
5401,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,5b46d4b6acc06e10d26e3c7e1b725683461bf73156d40c2c7e8d637533a46c41f814860e29e0fefedd5ea9df5941328faeeb50acf498403a7d1db92182fddffc,Several people gather around a laptop at a table.,2,0,thirties,male,indian
5402,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,539817e85c8ad95cd5123fdff0b49f60ffc91e3778470e29f05a1bd67b77ed9d77093d2d289485d45c11917a4808a26032fac1a54a6097eed7fa1b11a440117d,A man in a blue jersey watches something projected in front of him.,2,0,thirties,male,indian
5403,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,cda081c3bbf1e810854fb5c99f6566527d3ec9c160b9038adf5d0b9fef60717ecdb4e9fc5f518e602155f11f05f041e1d6ef540e31557f803b091d3af7e05387,A dog walking across the desert.,2,0,thirties,male,indian
5404,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,76b2a62b9ed49bbe65930b09fb4292a9ce9b7d9af6f72668c6691775378660783aa359891f8148188592d222da991dfb183308e368e1470c3fc8f90fdf0186c8,A man stands in the middle of two woman dressed in brightly colored costumes.,2,1,thirties,male,indian
5405,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,5865a7d83d893e3c563ba942c244bb432865638a76a70e4000e72fbf9c7e37f3aa17e33763db76b4067f0aa9409e37fdd37c7b2e06f90445e8e8bb3da6f4507b,A little blond girl crawling into a blue inflatable bouncy house.,2,0,thirties,male,indian
5406,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,9143c6b861bf731e68554f24f8123fc8b222e9314e6a1011f424d70434cd5a8008d0e0ae98519ef5b1f7bddf42aac3cb9ebb00ff1ed1a64e9210d84cec100b6e,A young male is about to cook some sort of bird.,2,0,thirties,male,indian
5407,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,dc87a91a5365f50fe5588ea5d6831c50be3e8e7b64f8335da555c8a9333fca766705da931487b3bba3589c89a21ff04344bd37b6aa3db7f79f86a608f74077be,"A large Amish family looking beyond on a pleasant, spring day",2,0,thirties,male,indian
5408,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,5290cfb29e4f9ddc68110f290d6f90a8656e20d2603416ba1802b3a111c73e02d0c80caef893c20428143112220d0f6b052e4a2e1e62ae45ffacdfd8304ddd68,A crowd of people walk next to a train.,2,0,thirties,male,indian
5409,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,ce5b1eab514137b7e4743904bbb315e2281fee69dedd3d69da1ad0d19a27243c3c125be66c350a4dc4830a289ceb2357c85164b8f3c99480e4424fec2f7a0891,Two women pet a baby kangaroo in the park.,2,0,thirties,male,indian
5410,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,cecbb50af9e8c76a5404aa8fe9594a56cfa343e4dbd814fe91dd5f6a67a74357070ccbced220b285cd2d02b579bc0e51350b0d610d082f87a12863059dff8b18,A woman and a man are in an airtraffic control tower looking out onto an airfield.,2,0,thirties,male,indian
5411,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,7a73a999987911270052370703622849bd0856d27518379c8a54bb6c1311d81455ba28db8a0ae3064313c4727741ad7dead586c36271e5c8a552d1b338108866,A man is standing beside two other men while reading a piece of paper.,4,0,thirties,male,indian
5412,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,25d60e2c5909fc411cfe99f57f858006b4d75eab8187ff5099b30a2e6b4bc284ec065aef52a941d8cc766778b296e98afa3d3d70487dbe0625e8b37228783d55,A couple walks down a dirt street.,3,0,thirties,male,indian
5413,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,b498f20e1f8f603a19f392a0e90d6cc053a5088ad975a894189b32a0f0b026b616e2b8bd82e8f947d992b8ce02aad0daea507b019b72f1c6493571f820d71520,Woman vaulting over a vaulting horse.,2,0,thirties,male,indian
5414,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,fb00194851d72f2ab923f0006efb4a0b05847d4622d9f502ecdc44cbe50bdbd2771e5a399d5388c01cb2ffb9436c7ac3d000f0bdc43b94042fb69865660c12d4,A man in a black leather jacket sitting looking at the city beyond.,2,0,thirties,male,indian
5415,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,8dbce8cfd2fa25b0549d7c5f2d3c16288321cf5d1adc44576ff5db6786a42972cd414c1ba609690160d786672c1fcf58bf95f2bac8c49d1e0e3d8f6daf5a4a62,A basket player is scoring.,2,0,thirties,male,indian
5416,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,d947724361c38d720cfbcb7f664779164f680e5118019af9991b239bbc6cf7fdc112c6981ff8a7b6935144764b3c69ac439b94a42d9f26f15c61d8c0aa621fed,Three women are looking into a camera.,2,0,thirties,male,indian
5417,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,397653b4d79e8e02bdb56c742642b31cb4487425c1f29b89f5e932e5ee4672469ee8466cc721bdfcc6a03372d02e306e19ec40748cc079f1527b4348f1455668,Fashion model posses for a shot or two.,2,0,thirties,male,indian
5418,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,1a866e36ce30e4f60b89e4d64cac4e358a84a944f6c62ea16336e2de45ca6e532a5cf6a31c6c649296685f8bcd11e5873af0553da381cca49507d14615ba2779,A crowd of people gathered together and one woman is standing and holding a sign.,2,0,thirties,male,indian
5419,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,43db828546c15f31718cc3eb7d10b355fe151c495ca95c91847bbc4b2fe3566931062cfd7285eb44bcfbcab57e53fe93f3026bdccec9f949d267940325ea5096,Tourists riding a double decker bus with people watching them from an office window.,2,0,thirties,male,indian
5420,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,1736b385b9d341b3b74fd12c108a5e5a59b187c3ee58f24ab51ac4ac6ed3f61665e80ad70ca38fa7ff41329be9965eebd026049101dfb29af3ca9b6e0a3c56b9,A black man in a sweater stands beside his rundown butcher shop.,2,0,thirties,male,indian
5421,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,619ed87b46130926bf2bf6d64a28427ba5387607c9cb8bb970793310f762ea43601131874495bee17b7ee60349b683edea64a78fed199e0bd8bff7c326ad8f21,"Two couples are walking under pink peach trees, while their blossoms fall.",2,0,thirties,male,indian
5422,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,e5c0cdc66fa0e52f7cd750281bc28ce3b6e5ec20a45e0bb2ecc7696870c2906853364b0d666cde4b6f0bdfb0ebb205f16043e0969e60475323f8f9c123e1929e,A child in a graduation gown throws the cap in the air.,2,1,thirties,male,indian
5423,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,41d693c70d471fd085a46a310a9ef03716c8048f3ff59a47af20b964e67a45298b722ac236606998f0ab8653c23bcad7b17bab2ccc3f2195e4bb2d2273539554,A little girl is carefully coloring in the pictures of a coloring book.,2,0,thirties,male,indian
5424,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,8e93fdd1e242e31233274f724c07c376e916eb9d3c2f18c45a7740f131d22c3ea29b1771766e1ce0f77429ddd2260aa27b64fbe1270f30fec9c9d9bcf75fb568,a team of cheerleaders cheering at a sporting event.,2,0,thirties,male,indian
5425,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,393456e8d425421c564750f990309322bc88990e63220207307ba64430cc67d83ffa72a4e6f882109728aa32245550b02bf5c886e996f98c38d539debc4a2698,A woman is walking down the sidewalk.,3,0,thirties,male,indian
5426,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,0fdc9a637e571ad2c7834359e3449d083938fa5b3353c3756319581a180ba5fdde3176e42589645c9ab8a22293595377c61bcd729a24ada3868e1a03eda10dbc,"A man sitting on a silver motorcycle, parked outside of a pub.",3,0,thirties,male,indian
5427,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,68f48f01a8861dcfb7677149936f2d4c0fcc10c0df10d47b09ef1eaa1ae173a99d0b222469c0909f8aab1cca7f1189a3d464ebd22d1458e14880a560e5a02155,Sledding down a hill during a snowstorm.,2,0,thirties,male,indian
5428,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,7108e81a59eabcd7d1e5c921b0f0ff8ed80f470e94282726b37ea663f5815ed70b5d72d3bc132e4594a88c1bace1324a913ab8b40ce4667dade5736dad74c567,Family and friends watching a military band play a song in a building,2,0,thirties,male,indian
5429,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,ac7f852185a1f29d4a452e5245c2feda52e88f0356019332ea4a71c265e89fbdb4c36047a3e6e8b76e1d8bf0b23da92f09bdbc5b25dfe3f6a7712b53b3d38eb9,A man in a white apron and hat is selling meat on a busy street.,2,1,thirties,male,indian
5430,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,f047f39631435ef3924245af271f4b35dba98dc860d1c37a69e58b6d80218af87c9f9e8d51ae545e897202d1c72abbe37816086138193be1b6f0bc76ec3245d3,Many people are watching a parade on the side of a street.,2,1,thirties,male,indian
5431,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,99f37a20978e750430e2d4e08643a4bd503951a21ba4fe122340c15fa57660e51e5f2e041d31f5862f98de577afacfa951626d38b848042ae4c3f309beff7e8e,A group of people hanging out on the street as a woman looks at her phone.,2,0,thirties,male,indian
5432,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,eb4ee23b0121b14d34d17b95811fef3a6ae23b1509afd0bc03bdebdec3c571b90dcbdd5579a802c5bde346132d84a1ddf215a08410c8bfddebc2576ec6ccbb33,A skateboarder is airborne on a bridge.,2,0,thirties,male,indian
5433,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,62e1142fa63da869c54f5588a706e2e3472a7d004e86e511ba0275b9efbe9727d44f36003117fa9e8734068286e6bbd76d4bf1070ebecb8049c15354bd0da952,People relax in the grass at nighttime during a carnival.,2,0,thirties,male,indian
5434,c885e7255def0fbba51df98727e14257b30f9d52cccaafa4e352929a731d7cfc8d787b165a45b38eb564608ee7d940880643d59340a073c0eaf5f99dc233aa87,c38bd2538a235e035af996af222ca8edd1f7571a204af2c698cf20b143b7ebbba86479cb6afc88fc36472fa40c67c8cfc6d8d54c42c8f38014236e8baf544552,A girl is playing in the fountain fully clothed.,2,0,thirties,male,indian
